experiment,last_x,last_y,abs_diff,frc_diff
10000,35.83,7.9,27.93,0.22
5000,34.51,7.68,26.83,0.22
35000,38.01,8.77,29.24,0.23
80000,38.09,8.9,29.19,0.23
55000,37.85,8.93,28.92,0.24
15000,36.17,8.58,27.59,0.24
70000,38.21,9.06,29.14,0.24
45000,37.85,9.01,28.84,0.24
20000,36.04,8.6,27.44,0.24
65000,38.13,9.11,29.01,0.24
50000,38.19,9.18,29.01,0.24
85000,37.64,9.14,28.5,0.24
95000,38.11,9.32,28.79,0.24
25000,36.1,8.95,27.15,0.25
40000,37.66,9.35,28.31,0.25
30000,36.09,9.22,26.86,0.26
75000,37.01,9.8,27.21,0.26
100000,36.79,9.78,27.01,0.27
60000,37.68,10.12,27.56,0.27
90000,37.67,10.4,27.27,0.28
